,90s,SCA,SCA90,PassLive (SCA),PassDead (SCA),Drib (SCA),Sh (SCA),Fld (SCA),Def (SCA),GCA,GCA90,PassLive (GCA),PassDead (GCA),Drib (GCA),Sh (GCA),Fld (GCA),Def (GCA)
Eden-Hazard,37.5,243.0,6.48,160.0,21.0,30.0,6.0,25.0,1.0,38.0,1.0133333333333334,22.0,3.0,8.0,1.0,4.0,0.0
Julian-Brandt,34.1,171.0,5.0146627565982405,119.0,27.0,13.0,9.0,3.0,0.0,36.0,1.0557184750733137,23.0,6.0,2.0,4.0,1.0,0.0
Erling-Haaland,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paco-Alcácer,17.5,45.0,2.5714285714285716,33.0,0.0,3.0,4.0,3.0,2.0,9.0,0.5142857142857142,5.0,0.0,1.0,1.0,1.0,1.0
Wissam-Ben-Yedder,38.1,98.0,2.5721784776902887,75.0,0.0,12.0,6.0,5.0,0.0,20.0,0.5249343832020997,12.0,0.0,4.0,3.0,1.0,0.0
Hirving-Lozano,6.0,26.0,4.333333333333333,13.0,3.0,1.0,0.0,8.0,1.0,1.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0
Moise-Kean,6.8,8.0,1.1764705882352942,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.29411764705882354,0.0,0.0,0.0,0.0,1.0,1.0
Pablo-Sarabia,35.2,152.0,4.3181818181818175,117.0,18.0,7.0,4.0,6.0,0.0,24.0,0.6818181818181818,21.0,1.0,1.0,1.0,0.0,0.0
Maxi-Gómez,32.9,72.0,2.1884498480243164,49.0,0.0,4.0,8.0,11.0,0.0,12.0,0.364741641337386,6.0,0.0,1.0,2.0,3.0,0.0
Raúl-Jiménez,34.6,78.0,2.254335260115607,63.0,0.0,6.0,7.0,1.0,1.0,12.0,0.3468208092485549,10.0,0.0,0.0,1.0,1.0,0.0
Thorgan-Hazard,31.9,119.0,3.730407523510972,73.0,26.0,7.0,3.0,8.0,2.0,16.0,0.5015673981191223,12.0,3.0,0.0,0.0,1.0,0.0
Steven-Bergwijn,4.4,16.0,3.6363636363636362,10.0,0.0,2.0,2.0,1.0,1.0,2.0,0.45454545454545453,1.0,0.0,0.0,0.0,0.0,1.0
Dani-Olmo,10.3,33.0,3.203883495145631,23.0,4.0,1.0,0.0,5.0,0.0,4.0,0.3883495145631068,3.0,0.0,0.0,0.0,1.0,0.0
Gelson-Martins,18.9,51.0,2.6984126984126986,38.0,0.0,2.0,3.0,8.0,0.0,5.0,0.2645502645502646,3.0,0.0,0.0,1.0,1.0,0.0
Matteo-Politano,36.3,165.0,4.545454545454546,109.0,32.0,8.0,6.0,9.0,1.0,13.0,0.3581267217630854,10.0,1.0,1.0,0.0,1.0,0.0
Stephan-El-Shaarawy,26.299999999999997,95.0,3.6121673003802286,71.0,1.0,11.0,8.0,4.0,0.0,15.0,0.570342205323194,10.0,0.0,2.0,1.0,2.0,0.0
Patrick-Cutrone,19.8,41.0,2.0707070707070705,38.0,0.0,1.0,1.0,0.0,1.0,2.0,0.10101010101010101,2.0,0.0,0.0,0.0,0.0,0.0
Rony-Lopes,20.5,88.0,4.2926829268292686,40.0,26.0,8.0,9.0,1.0,4.0,3.0,0.14634146341463414,1.0,1.0,0.0,0.0,0.0,1.0
Danny-Ings,18.3,53.0,2.8961748633879782,35.0,0.0,9.0,2.0,3.0,4.0,8.0,0.4371584699453552,2.0,0.0,2.0,0.0,3.0,1.0
Kasper-Dolberg,3.3,7.0,2.121212121212121,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.30303030303030304,0.0,0.0,0.0,0.0,1.0,0.0
Leandro-Trossard,5.8,19.0,3.2758620689655173,17.0,0.0,1.0,0.0,0.0,1.0,1.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0
Dodi-Lukebakio,21.9,54.0,2.4657534246575343,36.0,0.0,6.0,3.0,8.0,1.0,5.0,0.22831050228310504,3.0,0.0,1.0,0.0,1.0,0.0
Daniel-Podence,6.9,32.0,4.63768115942029,25.0,1.0,3.0,3.0,0.0,0.0,3.0,0.43478260869565216,1.0,0.0,1.0,1.0,0.0,0.0
Salomón-Rondón,28.9,67.0,2.3183391003460208,56.0,0.0,2.0,6.0,2.0,1.0,11.0,0.3806228373702422,8.0,0.0,0.0,3.0,0.0,0.0
Andrea-Petagna,33.7,70.0,2.0771513353115725,56.0,1.0,4.0,3.0,4.0,2.0,7.0,0.20771513353115725,6.0,0.0,0.0,0.0,1.0,0.0
Quincy-Promes,26.0,77.0,2.9615384615384617,62.0,2.0,5.0,5.0,3.0,0.0,15.0,0.5769230769230769,10.0,0.0,0.0,3.0,2.0,0.0
Pedro-Neto,0.5,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bas-Dost,3.0,4.0,1.3333333333333333,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
Riccardo-Orsolini,21.8,64.0,2.935779816513761,29.0,9.0,5.0,11.0,8.0,2.0,10.0,0.4587155963302752,6.0,4.0,0.0,0.0,0.0,0.0
Takumi-Minamino,4.4,19.0,4.3181818181818175,13.0,1.0,2.0,3.0,0.0,0.0,4.0,0.9090909090909091,1.0,0.0,1.0,2.0,0.0,0.0
Simone-Zaza,16.0,42.0,2.625,25.0,0.0,1.0,6.0,9.0,1.0,5.0,0.3125,3.0,0.0,0.0,2.0,0.0,0.0
Ihlas-Bebou,11.8,39.0,3.3050847457627115,25.0,1.0,6.0,1.0,3.0,3.0,5.0,0.423728813559322,3.0,0.0,1.0,0.0,1.0,0.0
Benito-Raman,18.7,48.0,2.5668449197860963,35.0,0.0,6.0,4.0,3.0,0.0,10.0,0.5347593582887701,6.0,0.0,3.0,1.0,0.0,0.0
Ivan-Cavaleiro,7.7,27.0,3.5064935064935066,25.0,2.0,0.0,0.0,0.0,0.0,3.0,0.38961038961038963,3.0,0.0,0.0,0.0,0.0,0.0
Gastón-Pereiro,4.3,16.0,3.7209302325581395,9.0,4.0,2.0,1.0,0.0,0.0,1.0,0.23255813953488372,0.0,1.0,0.0,0.0,0.0,0.0
Nicola-Sansone,15.6,51.0,3.269230769230769,36.0,2.0,2.0,6.0,5.0,0.0,8.0,0.5128205128205129,6.0,0.0,0.0,1.0,1.0,0.0
Jordan-Ayew,13.1,35.0,2.67175572519084,21.0,0.0,2.0,5.0,4.0,3.0,6.0,0.4580152671755725,3.0,0.0,0.0,1.0,0.0,2.0
Dawid-Kownacki,8.3,25.0,3.012048192771084,20.0,0.0,2.0,0.0,2.0,1.0,4.0,0.48192771084337344,3.0,0.0,0.0,0.0,1.0,0.0
Denis-Cheryshev,22.4,71.0,3.169642857142857,60.0,0.0,3.0,2.0,4.0,2.0,6.0,0.26785714285714285,4.0,0.0,0.0,0.0,1.0,1.0
Clinton-N'Jie,5.5,18.0,3.272727272727273,13.0,0.0,3.0,0.0,1.0,1.0,3.0,0.5454545454545454,2.0,0.0,1.0,0.0,0.0,0.0
Denis-Bouanga,29.3,78.0,2.6621160409556315,49.0,2.0,15.0,7.0,2.0,3.0,6.0,0.20477815699658702,3.0,0.0,0.0,0.0,2.0,1.0
Ryad-Boudebouz,14.2,54.0,3.802816901408451,45.0,3.0,6.0,0.0,0.0,0.0,4.0,0.28169014084507044,4.0,0.0,0.0,0.0,0.0,0.0
Ivan-Santini,4.0,8.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Takashi-Inui,15.599999999999998,42.0,2.6923076923076925,22.0,0.0,7.0,2.0,9.0,2.0,3.0,0.19230769230769235,2.0,0.0,0.0,0.0,1.0,0.0
Stephen-Odey,7.2,13.0,1.8055555555555556,9.0,0.0,2.0,1.0,1.0,0.0,1.0,0.1388888888888889,0.0,0.0,0.0,0.0,1.0,0.0
Darwin-Machís,5.1,19.0,3.7254901960784315,14.0,0.0,4.0,0.0,1.0,0.0,1.0,0.19607843137254904,1.0,0.0,0.0,0.0,0.0,0.0
Sory-Kaba,2.6,6.0,2.3076923076923075,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaël-Kakuta,8.0,15.0,1.875,12.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casimir-Ninga,27.4,52.0,1.8978102189781023,32.0,0.0,9.0,3.0,5.0,3.0,3.0,0.10948905109489052,3.0,0.0,0.0,0.0,0.0,0.0
