,90s,GA,PKA,FKA,CKA,OGA,PSxG,PSxG/SoT,PSxG+/-,PSxG+/-/90,Cmp (Pass Longer 40Y),Att (Pass Longer 40Y),Cmp% (Pass Longer 40Y),Att (Passes),Att (Throws),Pass Longer 40Y%,AvgLen (Pass),Att (GK),Pass Longer 40Y% (GK),AvgLen (GK),Opp (Crosses),Stp (Crosses),Stp% (Crosses),#OPA,#OPA/90,AvgDist
Jasper-Cillessen,4.0,5.0,1.0,0.0,0.0,0.0,6.5,0.2709744658676394,1.5,0.375,22.0,37.0,59.45945945945946,123.0,26.0,23.59512195121951,59.8,30.0,26.666666666666668,71.30000000000001,39.0,2.0,5.128205128205128,6.0,1.5,29.0
Alex-Meret,18.8,16.0,3.0,1.0,1.0,1.0,19.1,0.22641828958509738,4.1,0.2180851063829787,50.0,185.0,27.027027027027028,397.0,68.0,27.93249370277078,63.0,147.0,50.316326530612244,88.0,155.0,13.0,8.38709677419355,7.0,0.3723404255319149,26.700000000000003
Pau-LÃ³pez,35.0,49.0,3.0,3.0,9.0,0.0,46.3,0.3,-2.7,-0.07714285714285715,152.0,364.0,41.75824175824176,1033.0,183.0,24.883446272991286,58.4,256.0,41.751171875,74.7,273.0,25.0,9.157509157509157,34.0,0.9714285714285714,28.7
Emil-Audero,36.0,51.0,7.0,2.0,6.0,1.0,51.6,0.32,1.6,0.044444444444444446,144.0,428.0,33.64485981308411,863.0,186.0,32.1,31.8,295.0,51.2,41.9,389.0,33.0,8.483290488431876,25.0,0.6944444444444444,15.0
Benjamin-Lecomte,37.0,42.0,3.0,1.0,7.0,3.0,40.7,0.28,1.7,0.04594594594594594,336.0,744.0,45.16129032258064,997.0,167.0,56.6,44.3,265.0,67.9,52.2,307.0,22.0,7.166123778501629,26.0,0.7027027027027027,15.6
Keylor-Navas,13.0,10.0,0.0,0.0,2.0,0.0,11.2,0.2877064220183486,1.2,0.0923076923076923,43.0,109.0,39.44954128440367,286.0,71.0,27.246153846153845,63.7,69.0,44.93188405797102,90.3,97.0,7.0,7.216494845360824,9.0,0.6923076923076923,36.5
Kevin-Trapp,44.900000000000006,61.0,4.0,1.0,8.0,1.0,64.6,0.29199230141140786,0.6,0.013363028953229397,498.0,1072.0,46.45522388059701,1350.0,138.0,60.166666666666664,89.9,304.0,85.5171052631579,124.0,374.0,39.0,10.427807486631016,31.0,0.6904231625835189,31.4
Tom-Heaton,19.0,27.0,1.0,1.0,2.0,3.0,23.1,0.27,-0.9,-0.04736842105263158,176.0,473.0,37.2093023255814,414.0,45.0,77.3,55.1,172.0,89.0,66.1,230.0,11.0,4.782608695652174,14.0,0.7368421052631579,15.4
Ron-Robert-Zieler,34.0,70.0,2.0,2.0,6.0,5.0,59.0,0.33,-6.0,-0.17647058823529413,246.0,746.0,32.975871313672926,908.0,124.0,58.6,45.2,300.0,71.3,57.6,310.0,13.0,4.193548387096775,34.0,1.0,16.0
David-Ospina,22.2,25.0,1.0,1.0,3.0,1.0,21.7,0.2476226702168125,-2.3,-0.1036036036036036,99.0,254.0,38.976377952755904,516.0,99.0,34.08682170542636,68.6,154.0,50.6538961038961,88.30000000000001,180.0,19.0,10.555555555555555,8.0,0.3603603603603604,27.6
Brice-Samba,38.0,54.0,6.0,4.0,5.0,2.0,59.2,0.3,7.2,0.18947368421052632,369.0,825.0,44.72727272727273,907.0,167.0,63.1,46.2,315.0,80.3,58.5,346.0,36.0,10.404624277456648,21.0,0.5526315789473685,14.0
Alfred-Gomis,19.1,27.0,1.0,0.0,7.0,0.0,24.4,0.32,-2.6,-0.13612565445026178,109.0,299.0,36.45484949832776,536.0,120.0,39.9,36.9,146.0,58.2,46.2,159.0,11.0,6.918238993710692,8.0,0.41884816753926696,13.2
