,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In (CK),Out (CK),Str (CK),Ground (Height),Low (Height),High (Hight),Left Foot,Right Foot,Head,TI,Other Body Part,Cmp,Off,Out,Int,Blocks
Bruno-Fernandes,7.8,480.0,434.0,46.0,17.0,4.0,73.0,27.0,16.0,16.0,0.0,0.0,0.0,337.0,59.0,84.0,41.0,418.0,9.0,11.0,0.0,364.0,8.0,15.0,7.0,21.0
Giovani-Lo-Celso,33.0,1829.0,1769.0,60.0,36.0,16.0,294.0,37.0,22.0,9.0,0.0,1.0,0.0,1440.0,204.0,185.0,1534.0,224.0,41.0,11.0,12.0,1529.0,11.0,16.0,48.0,59.0
Youri-Tielemans,36.8,1988.0,1850.0,138.0,77.0,15.0,411.0,96.0,38.0,41.0,0.0,1.0,0.0,1408.0,260.0,320.0,356.0,1508.0,75.0,13.0,8.0,1584.0,5.0,38.0,31.0,55.0
Kerem-Demirbay,26.5,1639.0,1444.0,195.0,76.0,7.0,248.0,79.0,51.0,94.0,14.0,17.0,5.0,1004.0,257.0,378.0,1296.0,250.0,55.0,22.0,5.0,1262.0,4.0,25.0,45.0,42.0
Dennis-Praet,32.1,1878.0,1786.0,92.0,33.0,6.0,318.0,58.0,76.0,43.0,10.0,6.0,3.0,1414.0,230.0,234.0,125.0,1644.0,74.0,15.0,9.0,1560.0,7.0,26.0,43.0,56.0
Sander-Berge,4.3,305.0,294.0,11.0,11.0,0.0,43.0,9.0,2.0,0.0,0.0,0.0,0.0,239.0,37.0,29.0,27.0,251.0,21.0,0.0,1.0,264.0,0.0,5.0,7.0,6.0
Amadou-Diawara,9.1,680.0,675.0,5.0,4.0,1.0,104.0,17.0,2.0,0.0,0.0,0.0,0.0,543.0,60.0,77.0,68.0,587.0,16.0,0.0,4.0,612.0,2.0,9.0,6.0,8.0
Stanislav-Lobotka,27.7,1439.0,1406.0,33.0,30.0,1.0,230.0,29.0,10.0,1.0,0.0,0.0,0.0,1147.0,140.0,152.0,147.0,1230.0,51.0,2.0,5.0,1284.0,2.0,9.0,31.0,13.0
Grzegorz-Krychowiak,6.0,273.0,264.0,9.0,9.0,0.0,63.0,9.0,2.0,0.0,0.0,0.0,0.0,174.0,42.0,57.0,47.0,195.0,20.0,0.0,0.0,213.0,3.0,5.0,5.0,5.0
Nadiem-Amiri,8.700000000000001,403.0,389.0,14.0,5.0,0.0,75.0,4.0,13.0,3.0,1.0,0.0,0.0,295.0,71.0,37.0,56.0,325.0,14.0,6.0,1.0,345.0,1.0,1.0,5.0,9.0
Stefano-Sturaro,2.4,72.0,67.0,5.0,4.0,0.0,16.0,1.0,4.0,1.0,0.0,0.0,0.0,39.0,14.0,19.0,18.0,50.0,2.0,0.0,0.0,43.0,0.0,1.0,7.0,3.0
Ismaël-Bennacer,32.9,1997.0,1804.0,193.0,90.0,6.0,341.0,95.0,20.0,70.0,11.0,10.0,9.0,1394.0,265.0,338.0,1658.0,235.0,71.0,7.0,5.0,1664.0,6.0,26.0,45.0,29.0
Moussa-Djenepo,4.1,107.0,102.0,5.0,2.0,0.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,76.0,17.0,14.0,24.0,75.0,5.0,3.0,0.0,86.0,1.0,6.0,1.0,1.0
Denis-Suárez,1.6,113.0,102.0,11.0,1.0,1.0,29.0,1.0,6.0,4.0,0.0,0.0,0.0,91.0,9.0,13.0,6.0,97.0,2.0,6.0,0.0,93.0,1.0,1.0,2.0,4.0
Marvelous-Nakamba,4.4,148.0,144.0,4.0,4.0,0.0,14.0,7.0,1.0,0.0,0.0,0.0,0.0,116.0,17.0,15.0,115.0,18.0,14.0,0.0,0.0,128.0,0.0,2.0,3.0,3.0
Sofyan-Amrabat,3.2,175.0,151.0,24.0,3.0,0.0,34.0,1.0,2.0,0.0,0.0,0.0,0.0,102.0,34.0,39.0,14.0,129.0,9.0,21.0,0.0,127.0,0.0,2.0,3.0,12.0
Djibril-Sow,5.6,276.0,266.0,10.0,6.0,1.0,32.0,9.0,4.0,4.0,0.0,0.0,0.0,219.0,16.0,41.0,35.0,232.0,7.0,0.0,0.0,239.0,0.0,3.0,5.0,1.0
Santiago-Ascacíbar,27.0,1140.0,1111.0,29.0,22.0,1.0,167.0,23.0,10.0,1.0,0.0,0.0,0.0,810.0,158.0,172.0,200.0,793.0,120.0,5.0,5.0,923.0,4.0,20.0,21.0,34.0
Roberto-Soriano,21.7,868.0,847.0,21.0,7.0,4.0,182.0,7.0,24.0,5.0,0.0,0.0,0.0,631.0,141.0,96.0,149.0,639.0,51.0,7.0,6.0,700.0,6.0,10.0,23.0,34.0
Lukas-Lerager,30.8,1237.0,1204.0,33.0,24.0,0.0,210.0,29.0,18.0,0.0,0.0,0.0,0.0,848.0,162.0,227.0,130.0,968.0,92.0,2.0,7.0,973.0,3.0,18.0,26.0,28.0
James-McCarthy,0.2,8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0
Fayçal-Fajr,36.0,2097.0,1776.0,321.0,203.0,5.0,386.0,221.0,64.0,101.0,7.0,12.0,3.0,1140.0,259.0,698.0,145.0,1867.0,57.0,11.0,8.0,1596.0,6.0,54.0,31.0,37.0
Lasse-Schöne,9.8,612.0,570.0,42.0,18.0,0.0,109.0,9.0,8.0,22.0,0.0,6.0,1.0,458.0,84.0,70.0,28.0,531.0,33.0,2.0,8.0,515.0,5.0,7.0,12.0,11.0
Matías-Kranevitter,3.5,204.0,197.0,7.0,7.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,158.0,13.0,33.0,28.0,161.0,11.0,0.0,1.0,168.0,0.0,3.0,5.0,1.0
